sku,urgency_score_predicted,manufacture_rank,recommended_qty,backorder_probability
3329369,0.9987223,2,45.0,0.9522442205175066
3484398,0.9987223,2,64.0,0.9514331114178832
2000637,0.9987223,2,32.0,0.952474396076283
2105575,0.9987223,2,16.0,0.9509412631991359
2041013,0.9985906,15,96.0,0.9475820359815927
1848862,0.9985906,15,55.0,0.9459194065010609
3046118,0.9985906,15,30.0,0.943120978874875
3029903,0.9985906,15,281.0,0.9487383590335348
3322969,0.9985906,15,38.0,0.9464386472599082
2833592,0.9985906,15,61.0,0.9449274447690592
3075365,0.9985906,15,35.0,0.9373738012099049
3414346,0.9985906,15,96.0,0.946963206026822
2124172,0.9985906,15,96.0,0.9446226608212791
2953520,0.9985906,15,350.0,0.9406725882698653
2270947,0.9985906,15,140.0,0.9389594191848336
1786810,0.9985906,15,16.0,0.939035386718957
3330778,0.9985906,15,45.0,0.9497073653693395
3281431,0.9985906,15,24.0,0.9494600085650736
2022494,0.9985906,15,16.0,0.942317269442314
3273770,0.9985906,15,373.0,0.9377403172601719
3028124,0.9985906,15,96.0,0.946963206026822
3525282,0.9985906,15,373.0,0.9377403172601719
3166863,0.9985906,15,96.0,0.946963206026822
1534703,0.9985906,15,16.0,0.9406988197653577
2877798,0.9985906,15,35.0,0.9373738012099049
3326879,0.99802774,27,58.0,0.9521178544645462
2114882,0.99802774,27,66.0,0.9563402185725914
2921502,0.99802774,27,66.0,0.9555527173729084
3290908,0.9980089,29,66.0,0.9344288828855281
2144472,0.99800575,36,13.0,0.9560195408283735
3307602,0.99800575,36,73.0,0.9531110222206398
2947165,0.99800575,36,60.0,0.9541499238841998
3443646,0.99800575,36,68.0,0.9529214901467149
3051856,0.99800575,36,100.0,0.9510862006481372
2916525,0.99800575,36,100.0,0.9515699233527803
1909467,0.99800575,36,84.0,0.9555600391754744
3257399,0.99800575,36,42.0,0.9564884489708945
1376610,0.99800575,36,79.0,0.9525901068214196
1588739,0.99800575,36,44.0,0.9555876244491799
3473049,0.99800575,36,29.0,0.952210755864564
2951833,0.99800575,36,158.0,0.9561060245031248
3505105,0.99800575,36,42.0,0.9562275219499992
1818387,0.99800575,36,44.0,0.9541393746771686
2264067,0.9979869,47,20.0,0.9361573236651735
3522185,0.9979869,47,145.0,0.9347808637445741
2815243,0.9979869,47,19.0,0.9341511231363304
2929082,0.9979869,47,373.0,0.936166513372543
2924099,0.9979869,47,140.0,0.9347849158291072
2307321,0.9979869,47,30.0,0.9297551103769248
3270719,0.9979869,47,141.0,0.9347808637445741
